reversal_id,txn_id,timestamp,amount,reason
REV0095,TXN1403,2026-06-30 23:59:59,6647.13,duplicate_charge
REV0115,TXN1092,2026-06-17 04:20:38,,system_error
REV0106,TXN0631,2026-06-15 15:44:59,37943.67,customer_dispute
REV0020,TXN0885,2026-06-05 01:09:02,3910.44,fraud
REV0067,TXN0503,2026-06-14 02:17:13,6681.75,system_error
REV0013,TXN0563,2026-06-06 00:58:51,5066.12,duplicate_charge
REV0017,TXN1075,2026-06-07 01:57:56,31290.26,system_error
REV0068,TXN0813,2026-06-14 14:42:08,41998.06,system_error
REV0081,TXN1284,2026-06-07 16:16:45,1910985.51,duplicate_charge
REV0019,TXN1281,2026-06-20 05:04:12,11988.67,system_error
REV0093,TXN1392,2026-06-18 11:33:34,3903.1,fraud
REV0080,TXN1786,2026-06-22 22:06:34,190646.07,fraud
REV0044,TXN0391,2026-06-18 12:24:19,11554.85,system_error
REV0006,TXN0716,2026-06-19 04:40:15,201639.08,system_error
REV0055,TXN1772,2026-06-29 12:44:17,3746993.54,system_error
REV0114,TXN0567,2026-06-10 21:43:26,,system_error
REV0004,TXN0438,2026-06-05 23:07:27,2687.04,fraud
REV0076,TXN1738,2026-06-15 22:37:56,18665.76,duplicate_charge
REV0110,TXN1292,2026-06-28 12:06:21,0,system_error
REV0082,TXN0048,2026-06-25 17:50:53,12290.73,fraud
REV0037,TXN0502,2026-06-02 22:48:30,8986.42,system_error
REV0094,TXN0556,2026-06-22 10:37:46,150.57,customer_dispute
REV0062,TXN0652,2026-06-20 12:43:37,2273360.68,system_error
REV0046,TXN0252,2026-06-02 23:03:10,24777.72,duplicate_charge
REV0083,TXN1601,2026-06-20 15:32:30,141169.42,duplicate_charge
REV0099,TXN9003,2026-06-15 15:06:29,9042.76,customer_dispute
REV0063,TXN1349,2026-06-03 11:20:11,15796.01,customer_dispute
REV0036,TXN0396,2026-06-04 23:52:40,90369.51,system_error
REV0092,TXN1627,2026-06-04 11:53:51,8904.9,system_error
REV0002,TXN1521,2026-06-30 23:59:59,178224.49,duplicate_charge
REV0066,TXN1210,2026-06-14 05:01:12,10708.96,system_error
REV0035,TXN1277,2026-06-18 04:46:48,1545359.75,system_error
REV0073,TXN0366,2026-06-22 03:29:55,13734.88,system_error
REV0064,TXN0642,2026-06-10 01:09:40,12406.13,customer_dispute
REV0098,TXN9002,2026-06-03 02:30:30,5049.84,customer_dispute
REV0065,TXN1015,2026-06-08 04:21:49,4332.32,fraud
REV0054,TXN0459,2026-06-26 15:54:20,15021.13,fraud
REV0058,TXN1680,2026-06-11 00:59:22,468871.44,system_error
REV0030,TXN0470,2026-06-07 23:57:53,13263.33,system_error
REV0103,TXN9007,2026-06-23 22:38:22,8103.35,customer_dispute
REV0003,TXN1533,2026-06-25 02:04:44,5674.3,system_error
REV0014,TXN0325,2026-06-10 10:38:06,20103.44,customer_dispute
REV0088,TXN0312,2026-06-29 05:49:26,27380.23,duplicate_charge
REV0084,TXN0265,2026-06-29 01:11:57,174706.46,customer_dispute
REV0101,TXN9005,2026-06-14 22:27:19,6487.82,customer_dispute
REV0086,TXN0039,2026-06-30 23:59:59,321739.68,duplicate_charge
REV0119,,2026-06-29 06:29:14,2349.53,customer_dispute
REV0059,TXN1589,2026-06-08 23:59:01,16432.42,system_error
REV0040,TXN0250,2026-06-29 03:20:08,45097.53,duplicate_charge
REV0085,TXN1889,2026-06-03 16:28:58,24759.28,customer_dispute
REV0032,TXN1530,2026-06-18 03:58:36,215.63,system_error
REV0005,TXN0003,2026-06-21 23:07:26,10432.98,customer_dispute
REV0018,TXN0219,2026-06-16 12:37:05,26888.41,customer_dispute
REV0021,TXN0090,2026-06-13 23:23:30,240003.47,customer_dispute
REV0053,TXN1596,2026-06-12 02:56:08,12709.32,fraud
REV0102,TXN9006,2026-06-21 00:56:42,4020.17,customer_dispute
REV0024,TXN0231,2026-06-24 23:58:59,76124.16,customer_dispute
REV0038,TXN0957,2026-06-03 16:36:17,12104.53,system_error
REV0027,TXN1154,2026-06-15 12:43:01,17657.18,system_error
REV0007,TXN0918,2026-06-02 20:47:55,37104.54,customer_dispute
REV0048,TXN1392,2026-06-16 22:33:34,4039.6,customer_dispute
REV0113,TXN0325,2026-06-07 14:52:17,0,fraud
REV0070,TXN1888,2026-06-30 14:26:57,110454.16,fraud
REV0096,TXN9000,2026-06-03 23:18:27,7067.08,customer_dispute
REV0010,TXN1744,2026-06-23 21:26:15,21862.62,customer_dispute
REV0112,TXN1281,2026-06-18 06:30:13,-1,customer_dispute
REV0029,TXN1292,2026-06-02 05:14:48,18830.36,duplicate_charge
REV0050,TXN1403,2026-06-29 16:40:21,7812.71,fraud
REV0051,TXN1706,2026-06-27 15:43:10,68753.14,duplicate_charge
REV0042,TXN1244,2026-06-21 21:44:37,85061.14,system_error
REV0090,TXN1000,2026-06-19 13:45:55,10406.73,duplicate_charge
REV0107,TXN0387,2026-06-18 01:14:21,21707419.25,customer_dispute
REV0025,TXN0124,2026-06-28 13:11:57,441409.05,customer_dispute
REV0039,TXN0100,2026-06-11 12:21:20,29312.41,system_error
REV0071,TXN0653,2026-06-11 14:37:05,11884.37,system_error
REV0047,TXN1627,2026-06-03 14:53:51,318653.23,fraud
REV0091,TXN0252,2026-06-03 13:03:10,4199.08,fraud
REV0034,TXN0303,2026-06-21 15:20:29,11106.74,duplicate_charge
REV0009,TXN1739,2026-06-26 04:41:14,28507.57,system_error
REV0028,TXN0117,2026-06-22 02:00:46,10345.72,customer_dispute
REV0079,TXN0403,2026-06-16 18:32:07,81503.36,fraud
REV0074,TXN0525,2026-06-10 12:37:58,634.72,fraud
REV0011,TXN0555,2026-06-18 18:22:05,930449.74,duplicate_charge
REV0104,TXN1531,2026-06-19 04:30:53,22424.46,customer_dispute
REV0056,TXN0226,2026-06-09 00:51:04,523402.24,system_error
REV0072,TXN0331,2026-06-20 03:54:43,49690.12,customer_dispute
REV0001,TXN1323,2026-06-25 15:31:57,24989.71,duplicate_charge
REV0061,TXN1774,2026-06-22 10:59:04,12198.9,customer_dispute
REV0108,TXN0873,2026-06-28 01:47:57,73492080.32,customer_dispute
REV0087,TXN1244,2026-06-23 13:44:37,131752.32,fraud
